Budget,Company,Country,Director,Genre,Gross,name (Copy of output 2016 1.csv),Name,Negative Percentage,Negative Retweets,Neutral Tweets,Positive Percentage,Positive Retweets,Rating,Released,Runtime,Score,Star,Total Retweets,Tweets Analyzed,Votes,Writer,Year
6000000,HBO Films,USA,Robert Harmon,Thriller,5844868,The Hitcher,The Hitcher,13.18681319,45613,48.35164835,38.46153846,118087,R,2/21/1986,97,7.3,Rutger Hauer,175250,91,36191,Eric Red,1986
0,Metro-Goldwyn-Mayer (MGM),USA,Peter Hyams,Action,38500726,Running Scared,Running Scared,38.75,117,32.5,28.75,1254,R,6/27/1986,107,6.5,Gregory Hines,1644,80,9344,Gary DeVore,1986
0,Miramax,USA,Bob Weinstein,Comedy,2669366,Playing for Keeps,Playing for Keeps,32.65306122,568,26.53061224,40.81632653,465,PG-13,10/3/1986,102,4.1,Daniel Jordano,1037,49,515,Bob Weinstein,1986
13000000,Orion Pictures,USA,Paul Verhoeven,Action,53424681,RoboCop,RoboCop,8.196721311,404,78.68852459,13.1147541,1516,R,7/17/1987,102,7.5,Peter Weller,2814,61,196245,Edward Neumeier,1987
0,Incorporated Television Company (ITC),UK,Joseph Ruben,Horror,2488740,The Stepfather,The Stepfather,22.85714286,3220,32.85714286,44.28571429,1577,R,6/5/1987,89,6.8,Terry O'Quinn,5423,70,9959,Carolyn Lefcourt,1987
18000000,Amercent Films,USA,Jonathan Kaplan,Comedy,18532286,Project X,Project X,23.21428571,163,46.42857143,30.35714286,729,PG,4/17/1987,108,6.1,Matthew Broderick,2542,56,8879,Lawrence Lasker,1987
0,RKO Pictures,USA,Steven Lisberger,Comedy,4215859,Hot Pursuit,Hot Pursuit,13.04347826,3,9.782608696,77.17391304,37,PG-13,5/8/1987,93,5.8,John Cusack,59,92,2768,Steven Lisberger,1987
0,Great American Films Limited Partnership,USA,Michael Hoffman,Drama,316199,Promised Land,Promised Land,10.44776119,12,58.20895522,31.34328358,2170,R,1/22/1988,102,5.7,Jason Gedrick,2516,67,1052,Michael Hoffman,1987
20000000,Touchstone Pictures,USA,Roger Donaldson,Comedy,78222753,Cocktail,Cocktail,22.22222222,4138,43.33333333,34.44444444,444,R,7/29/1988,104,5.8,Tom Cruise,22164,90,65825,Heywood Gould,1988
2000000,New Line Cinema,USA,John Waters,Comedy,6671108,Hairspray,Hairspray,19.76744186,2,37.20930233,43.02325581,73,PG,2/26/1988,92,7,Sonny Bono,284,86,17169,John Waters,1988
6000000,Aspen Film Society,USA,Paul Golding,Horror,40397,Pulse,Pulse,12.08791209,1436,47.25274725,40.65934066,1076,PG-13,3/4/1988,95,5.5,Cliff De Young,13426,91,1781,Paul Golding,1988
25000000,Filmauro,USA,George P. Cosmatos,Adventure,15704614,Leviathan,Leviathan,3.125,28,90.625,6.25,11,R,3/17/1989,98,5.8,Peter Weller,4730,96,14315,David Webb Peoples,1989
