Budget,Genre,Gross,Name,Negative Percentage,Negative Retweets,Neutral Tweets,Positive Percentage,Positive Retweets,Runtime,Score,Tweets Analyzed,Votes,Year,SentClass2,SentClass3,SentRatio
6000000,Thriller,5844868,The Hitcher,13.18681319,45613,48.35164835,38.46153846,118087,97,7.3,91,36191,1986,0,1,2.916666666
0,Action,38500726,Running Scared,38.75,117,32.5,28.75,1254,107,6.5,80,9344,1986,0,0,0.741935484
0,Comedy,2669366,Playing for Keeps,32.65306122,568,26.53061224,40.81632653,465,102,4.1,49,515,1986,1,2,1.25
13000000,Action,53424681,RoboCop,8.196721311,404,78.68852459,13.1147541,1516,102,7.5,61,196245,1987,0,1,1.6
0,Horror,2488740,The Stepfather,22.85714286,3220,32.85714286,44.28571429,1577,89,6.8,70,9959,1987,1,2,1.9375
18000000,Comedy,18532286,Project X,23.21428571,163,46.42857143,30.35714286,729,108,6.1,56,8879,1987,0,1,1.307692308
0,Comedy,4215859,Hot Pursuit,13.04347826,3,9.782608696,77.17391304,37,93,5.8,92,2768,1987,1,2,5.916666667
0,Drama,316199,Promised Land,10.44776119,12,58.20895522,31.34328358,2170,102,5.7,67,1052,1987,0,1,3.000000001
20000000,Comedy,78222753,Cocktail,22.22222222,4138,43.33333333,34.44444444,444,104,5.8,90,65825,1988,0,1,1.55
2000000,Comedy,6671108,Hairspray,19.76744186,2,37.20930233,43.02325581,73,92,7,86,17169,1988,1,2,2.176470588
6000000,Horror,40397,Pulse,12.08791209,1436,47.25274725,40.65934066,1076,95,5.5,91,1781,1988,0,1,3.363636363
25000000,Adventure,15704614,Leviathan,3.125,28,90.625,6.25,11,98,5.8,96,14315,1989,0,1,2
11500000,Drama,2260616,Sing,13.46153846,13718,46.15384615,40.38461538,10618,98,6.8,52,597,1989,0,1,3
13500000,Action,135265915,Teenage Mutant Ninja Turtles,25,0,40,35,46,93,6.7,20,73504,1990,0,1,1.4
12000000,Adventure,84500122,The Santa Clause 3: The Escape Clause,0,0,66.66666667,33.33333333,0,97,4.7,3,24317,2006,0,1,0
0,Adventure,45588608,College Road Trip,7.142857143,1296,44.04761905,48.80952381,34,83,4.3,84,13864,2008,1,2,6.833333333
15000000,Adventure,26161406,Ramona and Beezus,3.448275862,0,58.62068966,37.93103448,0,100,6.7,29,14808,2010,0,1,11
85000000,Animation,99046791,Hercules,1.204819277,0,79.51807229,19.27710843,29,93,7.2,83,159637,1997,0,1,16
35000000,Animation,19447478,Valiant,0,0,25,75,638,76,5.6,64,17195,2005,1,2,0
80000000,Animation,37384046,Vida salvaje,3.703703704,0,96.2962963,0,0,100,5.3,27,20301,2006,0,1,0
35000000,Animation,14522427,Everyone's Hero,30.37974684,52286,20.25316456,49.36708861,514,87,5.8,79,6650,2006,1,2,1.625
50000000,Animation,58640119,Curious George,55.55555556,86,10,34.44444444,14,87,6.6,90,13503,2006,0,0,0.62
120000000,Animation,244082982,Cars,20.27027027,1603,50,29.72972973,1027,117,7.1,74,292006,2006,0,1,1.466666667
150000000,Animation,97822171,Meet the Robinsons,11.34020619,2,47.42268041,41.2371134,538,95,6.9,97,72807,2007,0,1,3.636363635
150000000,Animation,206445654,Ratatouille,9.090909091,0,72.72727273,18.18181818,0,111,8,11,516560,2007,0,1,2
34000000,Animation,15090400,Ponyo,4.347826087,0,85.50724638,10.14492754,0,101,7.7,69,94663,2008,0,1,2.333333334
60000000,Animation,50877145,The Tale of Despereaux,19.40298507,8,47.76119403,32.8358209,7,93,6.1,67,32512,2008,0,1,1.692307693
85000000,Animation,154529439,Horton Hears a Who!,7.608695652,16,65.2173913,27.17391304,19,86,6.8,92,113151,2008,0,1,3.571428571
105000000,Animation,104400899,The Princess and the Frog,6.12244898,1,55.10204082,38.7755102,11039,97,7.1,49,97887,2009,0,1,6.333333332
23000000,Animation,19202743,The Secret World of Arrietty,84.05797101,17313,5.797101449,10.14492754,97,94,7.6,69,59799,2010,0,0,0.120689655
200000000,Animation,415004880,Toy Story 3,12.22222222,9,54.44444444,33.33333333,53,103,8.3,90,603472,2010,0,1,2.727272727
36000000,Animation,99967670,Gnomeo & Juliet,12.5,2,55.20833333,32.29166667,14,84,6,96,45274,2011,0,1,2.583333334
75000000,Animation,133110742,Alvin and the Chipmunks: Chipwrecked,4.347826087,0,52.17391304,43.47826087,23,87,4.4,23,24939,2011,0,1,10
200000000,Animation,191452396,Cars 2,13.48314607,4,38.20224719,48.31460674,150,106,6.2,89,116477,2011,1,2,3.583333333
90000000,Animation,143619809,Rio,1.234567901,9,92.59259259,6.172839506,210,96,6.9,81,177152,2011,0,1,5.000000001
30000000,Animation,26692846,Winnie the Pooh,14.54545455,2,47.27272727,38.18181818,125,100,7.2,55,16941,2011,0,1,2.624999999
200000000,Animation,268492764,Monsters University,6.451612903,77,53.76344086,39.78494624,2,104,7.3,93,258992,2013,0,1,6.166666667
103000000,Animation,131538435,Rio 2,3.125,0,84.375,12.5,14,101,6.3,32,64550,2014,0,1,4
99000000,Animation,130178411,The Peanuts Movie,13.95348837,1904,34.88372093,51.1627907,17550,88,7.1,86,34889,2015,1,2,3.666666667
0,Comedy,82985708,Charlotte's Web,17.04545455,5,50,32.95454545,14,97,6.3,88,30383,2006,0,1,1.933333333
65000000,Comedy,32061555,Mr. Magorium's Wonder Emporium,21.42857143,10,53.57142857,25,12,93,6.2,28,37538,2007,0,1,1.166666667
11000000,Comedy,90559416,High School Musical 3: Senior Year,9.210526316,2,0,90.78947368,69,112,4.6,76,47545,2008,1,2,9.857142856
30000000,Comedy,79566871,Hannah Montana: The Movie,16,0,56,28,151,102,4.3,50,34118,2009,0,1,1.75
10000000,Drama,17655201,Kit Kittredge: An American Girl,37.5,2,37.5,25,0,101,6.6,8,4988,2008,0,0,0.666666667
15000000,Drama,4602512,"Lust, Caution",0,0,95.16129032,4.838709677,0,157,7.6,62,32328,2007,0,1,0
6500000,Drama,4000304,Shame,35.63218391,33396,36.7816092,27.5862069,2390,101,7.2,87,158515,2011,0,1,0.774193548
0,Drama,2199675,Blue Is the Warmest Color,8.860759494,0,65.82278481,25.3164557,384,180,7.8,79,107119,2013,0,1,2.857142857
0,Action,128392,I Saw the Devil,13.04347826,143,45.65217391,41.30434783,62,141,7.8,46,81507,2010,0,1,3.166666667
3000000,Action,703002,Hobo with a Shotgun,17.5257732,6,58.7628866,23.71134021,81,86,6.1,97,39392,2011,0,1,1.352941176
16700000,Action,3680306,Don 2,24.63768116,43615,33.33333333,42.02898551,34737,148,7.1,69,43225,2011,1,2,1.705882353
0,Action,449523,Attack on Titan: Part 1,7.692307692,3,51.28205128,41.02564103,1241,98,5.1,39,9847,2015,0,1,5.333333334
15000000,Action,613556,The Assassin,25,43511,34.09090909,40.90909091,364,105,6.4,88,12237,2015,1,2,1.636363636
0,Action,1908028,Shin Godzilla,8.955223881,4,61.19402985,29.85074627,173,120,6.7,67,11739,2016,0,1,3.333333333
0,Action,2129768,Estación Zombie: tren a Busan,0,0,100,0,0,118,7.5,27,72896,2016,0,1,0
0,Adventure,17546,Valhalla Rising,17.56756757,26,54.05405405,28.37837838,34,93,6,74,47214,2009,0,1,1.615384615
0,Adventure,35722,Sightseers,21.73913043,6,35.86956522,42.39130435,100,88,6.5,92,22742,2012,1,2,1.950000001
0,Adventure,1429534,Queen,17.77777778,6302,43.33333333,38.88888889,104972,146,8.3,90,48398,2013,0,1,2.1875
1400000,Adventure,1329249,Embrace of the Serpent,1.960784314,0,68.62745098,29.41176471,4,125,7.9,51,13698,2015,0,1,15
130000,Adventure,13557,Till We Meet Again,5.194805195,33,50.64935065,44.15584416,4410,105,6.9,77,1248,2016,0,1,8.5
0,Animation,686383,The Secret of Kells,52.22222222,452,12.22222222,35.55555556,1731,100,7.7,90,25381,2009,0,0,0.680851064
0,Animation,137815,The Congress,17.46031746,14273,49.20634921,33.33333333,41162,122,6.5,63,14289,2013,0,1,1.909090909
0,Biography,676167,Sophie Scholl: The Final Days,0,0,50,50,16,120,7.7,6,23519,2005,0,0,0
35000000,Biography,1731665,Che: Part One,16.66666667,31614,50,33.33333333,2747,134,7.2,24,40064,2008,0,1,1.999999999
0,Biography,154084,Hunger,21.68674699,4197,61.44578313,16.86746988,2354,96,7.6,83,56117,2008,0,1,0.777777778
2000000,Biography,8012,The Snowtown Murders,0,0,0,100,4,119,6.6,4,14476,2011,1,2,0
5000000,Biography,5565,Kid Cannabis,10.29411765,41,47.05882353,42.64705882,599,110,6.4,68,8218,2014,0,1,4.142857141
0,Comedy,10205,Taxidermia,9.722222222,2,84.72222222,5.555555556,0,91,7,72,14123,2006,0,1,0.571428571
0,Comedy,2197331,Rang De Basanti,0,0,66.66666667,33.33333333,208,157,8.3,18,84309,2006,0,1,0
0,Comedy,82987,Black Sheep,53.60824742,26588,13.40206186,32.98969072,108,87,5.8,97,36120,2006,0,0,0.615384615
500000,Comedy,654132,Another Gay Movie,26.66666667,2,6.666666667,66.66666667,156,92,5,15,8093,2006,1,2,2.5
500000,Comedy,23000,Poultrygeist: Night of the Chicken Dead,64.28571429,1,35.71428571,0,0,103,6.2,14,6500,2006,0,0,0
0,Comedy,1477650,Welcome to the Sticks,12.16216216,24,16.21621622,71.62162162,4022,106,7.1,74,33194,2008,1,2,5.88888889
800000,Comedy,41709,Dead Snow,54.44444444,30306,20,25.55555556,16,100,6.3,90,57777,2009,0,0,0.469387755
0,Comedy,2384044,In the Loop,15.85365854,97,42.68292683,41.46341463,353,106,7.5,82,47137,2009,0,1,2.615384615
0,Comedy,504030,Heartbreaker,13.82978723,10,67.0212766,19.14893617,11,105,6.8,94,22456,2010,0,1,1.384615385
25000000,Comedy,206088,Little White Lies,60,714,2.857142857,37.14285714,4,134,7.1,70,20148,2010,0,0,0.619047619
0,Comedy,255179,Boy,10.71428571,14234,51.19047619,38.0952381,10161,87,7.5,84,11504,2010,0,1,3.555555557
0,Comedy,183605,Uncle Boonmee Who Can Recall His Past Lives,91.66666667,411,0,8.333333333,1,114,6.6,24,10329,2010,0,0,0.090909091
0,Comedy,2014922,The Trip,32.92682927,1777,31.70731707,35.36585366,19591,112,7,82,18884,2010,1,2,1.074074074
65000,Comedy,389804,Tiny Furniture,13.51351351,12185,47.2972973,39.18918919,49,98,6.2,74,12702,2010,0,1,2.900000001
5000000,Comedy,1098,Flypaper,15.95744681,89669,52.12765957,31.91489362,398656,87,6.4,94,28775,2011,0,1,2
0,Comedy,1670773,English Vinglish,4.054054054,2,70.27027027,25.67567568,48,134,7.9,74,25931,2012,0,1,6.333333334
7980000,Comedy,1027121,Cocktail,22.22222222,4138,43.33333333,34.44444444,444,146,6.2,90,10931,2012,0,1,1.55
0,Comedy,21660,The ABCs of Death,38.88888889,3,44.44444444,16.66666667,10,129,4.7,18,15544,2012,0,1,0.428571429
0,Comedy,22930,Struck by Lightning,21.95121951,74,41.46341463,36.58536585,2,90,6.3,41,13513,2012,0,1,1.666666667
0,Comedy,18238,The Little Death,25,0,25,50,2307,96,7.1,12,21390,2014,1,2,2
5000000,Comedy,72273,Better Living Through Chemistry,4.47761194,0,8.955223881,86.56716418,19,91,6.3,67,12284,2014,1,2,19.33333333
0,Comedy,48949,Spring,6.315789474,247,52.63157895,41.05263158,16392,109,6.7,95,17373,2014,0,1,6.5
0,Comedy,89182,El nuevo nuevo testamento,0,0,96.77419355,3.225806452,0,114,7.1,62,20984,2015,0,1,0
0,Comedy,98818,The Lure,18.05555556,20,34.72222222,47.22222222,502,92,6.3,72,2000,2015,1,2,2.615384615
0,Crime,121390,13 Tzameti,0,0,73.33333333,26.66666667,0,93,7.4,15,15418,2005,0,1,0
3700000,Crime,144397,Unknown,37.64705882,6166,36.47058824,25.88235294,8242,85,6.5,85,27012,2006,0,0,0.6875
3700000,Crime,144397,Unknown,51.89873418,7627,16.4556962,31.64556962,5662,85,6.5,79,27012,2006,0,0,0.609756098
0,Crime,1577639,Gomorrah,4.761904762,0,54.76190476,40.47619048,2,137,7,42,40616,2008,0,1,8.500000001
0,Crime,13023,The Escapist,7.407407407,1,37.03703704,55.55555556,10150,102,6.8,81,15204,2008,1,2,7.500000001
0,Crime,26297,Kill List,15.625,846,37.5,46.875,179,95,6.4,32,29136,2011,1,2,3
7395080,Crime,2706375,Talaash,9.210526316,9,71.05263158,19.73684211,22,140,7.3,76,32323,2012,0,1,2.142857143
0,Crime,34100,Starred Up,19.23076923,14,28.84615385,51.92307692,198,106,7.4,52,35739,2013,1,2,2.7
9400000,Crime,739478,Drishyam,6.060606061,0,74.24242424,19.6969697,381,163,8.4,66,42547,2015,0,1,3.25
0,Crime,2005473,The Handmaiden,4.545454545,0,65.90909091,29.54545455,8,144,8.1,44,43552,2016,0,1,6.500000002
0,Crime,28505,King Cobra,9.836065574,1133,77.04918033,13.1147541,355,91,5.6,61,4894,2016,0,1,1.333333333
0,Drama,77848,Stalingrad,45.28301887,7,32.0754717,22.64150943,133,134,7.5,53,25655,1993,0,0,0.5
0,Drama,22490,The Exterminating Angels,0,0,66.66666667,33.33333333,0,100,5.5,3,2583,2006,0,1,0
0,Drama,1829142,The Wind That Shakes the Barley,5.063291139,0,64.55696203,30.37974684,8,127,7.5,79,39412,2006,0,1,6.000000001
1000000,Drama,1100000,Loving Annabelle,1.785714286,0,8.928571429,89.28571429,40,76,6.6,56,10025,2006,1,2,49.99999999
4600000,Drama,434417,Savage Grace,14.44444444,10319,52.22222222,33.33333333,37618,97,5.9,90,9518,2007,0,1,2.307692308
0,Drama,1185783,"4 Months, 3 Weeks and 2 Days",22.36842105,26,53.94736842,23.68421053,2,113,7.9,76,48360,2007,0,1,1.05882353
0,Drama,145109,Flame & Citron,0,0,100,0,0,130,7.3,3,15298,2008,0,1,0
0,Drama,19853,Garden Party,22.61904762,54,34.52380952,42.85714286,17,88,5.6,84,3113,2008,1,2,1.894736842
11000000,Drama,397070,Anticristo,5.194805195,2,90.90909091,3.896103896,0,108,6.6,77,96352,2009,0,1,0.75
0,Drama,336467,Enter the Void,16.85393258,27,67.41573034,15.73033708,8,161,7.3,89,51942,2009,0,1,0.933333334
0,Drama,373060,Fish Tank,25,6913,44.44444444,30.55555556,569,123,7.3,36,51481,2009,0,1,1.222222222
0,Drama,62985,Heartbeats,14.0625,360,43.75,42.1875,154,101,7.2,64,21449,2010,0,1,3
0,Drama,1337384,Certified Copy,13.97849462,5,53.76344086,32.25806452,107,106,7.3,93,16271,2010,0,1,2.307692309
0,Drama,13068,Norwegian Wood,11.9047619,7,66.66666667,21.42857143,3904,133,6.4,84,9497,2010,0,1,1.800000001
