budget,company,country,director,genre,gross,name,rating,released,runtime,score,star,votes,writer,year,Column1,Name2,tweets analyzed,movieTermCount,total retweets,positive percentage,positive retweets,negative percentage,negative retweets,neutral tweet percentage,P_N,P_N_N,P_Nratio,PandN/Nratio
0,Sixteen Films,UK,Ken Loach,Drama,258168,"I, Daniel Blake",R,42895,100,7.9,Dave Johns,30977,Paul Laverty,2016,6774,"I, Daniel Blake",22,22,10,27.27272727,0,13.63636364,2,59.09090909,1,1,1.999999999,6.333333331
0,Everything Is Everything,USA,Sarah Adina Smith,Drama,72622,Buster's Mal Heart,UNRATED,42878,96,5.9,Rami Malek,2994,Sarah Adina Smith,2016,6773,Buster's Mal Heart,6,6,1,33.33333333,0,33.33333333,1,33.33333333,0,0,1,2
30000000,Keep Your Head,USA,James Gray,Adventure,8574339,The Lost City of Z,PG-13,42846,141,6.6,Charlie Hunnam,39409,James Gray,2016,6610,The Lost City of Z,12,12,17,33.33333333,16,16.66666667,0,50,1,1,1.999999999,4.999999999
0,Braveart Films,USA,Susan Johnson,Comedy,19025,Carrie Pilby,Not specified,42829,98,6.6,Bel Powley,2617,Kara Holden,2016,6699,Carrie Pilby,6,6,0,33.33333333,0,16.66666667,0,50,1,1,1.999999999,4.999999999
5000000,BH Tilt,USA,Greg McLean,Action,10164675,The Belko Experiment,R,42811,89,6.1,John Gallagher Jr.,23422,James Gunn,2016,6683,The Belko Experiment,9,9,1,44.44444444,0,11.11111111,0,44.44444444,1,0,4,8
40000000,Regency Enterprises,USA,Gore Verbinski,Drama,8106986,A Cure for Wellness,R,42783,146,6.4,Dane DeHaan,45187,Justin Haythe,2016,6653,A Cure for Wellness,16,16,0,37.5,0,18.75,0,43.75,1,1,2,4.333333333
0,Paris Film,Canada,Oz Perkins,Horror,19980,The Blackcoat's Daughter,R,42782,93,5.8,Emma Roberts,6768,Oz Perkins,2015,6479,The Blackcoat's Daughter,18,18,0,55.55555556,0,11.11111111,0,33.33333333,1,2,5.000000001,8.000000001
40000000,Constantin Film,UK,Paul W.S. Anderson,Action,26830068,Resident Evil: The Final Chapter,R,42762,107,5.6,Milla Jovovich,58140,Paul W.S. Anderson,2016,6633,Resident Evil: The Final Chapter,11,11,1,9.090909091,1,63.63636364,0,27.27272727,0,0,0.142857143,0.571428571
7000000,A24,USA,Mike Mills,Comedy,5663855,20th Century Women,R,42755,119,7.4,Annette Bening,20814,Mike Mills,2016,6740,20th Century Women,7,7,0,0,0,0,0,100,0,1,0,0
0,Cine Bazar,Japan,Hideaki Anno,Action,1908028,Shin Godzilla,NOT RATED,42748,120,6.7,Hiroki Hasegawa,11739,Hideaki Anno,2016,6767,Shin Godzilla,9,9,0,55.55555556,0,0,0,44.44444444,1,2,0,0
43000000,Apaches Entertainment,UK,J.A. Bayona,Drama,3730982,A Monster Calls,PG-13,42741,108,7.5,Lewis MacDougall,49969,Patrick Ness,2016,6648,A Monster Calls,12,12,0,25,0,16.66666667,0,58.33333333,1,1,1.5,4.999999999
35000000,Lakeshore Entertainment,USA,Anna Foerster,Action,30348260,Underworld: Blood Wars,R,42741,91,5.8,Kate Beckinsale,49911,Cory Goodman,2016,6644,Underworld: Blood Wars,15,15,6,73.33333333,5,6.666666667,0,20,1,2,11,14
25000000,Levantine Films,USA,Theodore Melfi,Biography,169380936,Hidden Figures,PG,42741,127,7.8,Taraji P. Henson,121818,Allison Schroeder,2016,6612,Hidden Figures,13,13,1,30.76923077,0,23.07692308,0,46.15384615,1,1,1.333333333,3.333333333
0,Komplizen Film,Germany,Maren Ade,Comedy,1478960,Toni Erdmann,R,42729,162,7.5,Sandra Hüller,29072,Maren Ade,2016,6732,Toni Erdmann,18,18,19,38.88888889,5,5.555555556,0,55.55555556,1,1,7,17
